@relation 'dataset-weka.filters.unsupervised.attribute.AddValues-C10-L6,7-weka.filters.unsupervised.attribute.AddValues-C11-L6,7,8-weka.filters.unsupervised.attribute.AddValues-C12-L6,7,8-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C15-L1-5-V-H'

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7}
@attribute outputs-2 {0,1,2,3,4,5,6,7,8}
@attribute outputs-3 {0,1,2,3,4,5,6,7,8}
@attribute outputs-4 {0,1,2,3,4,5}
@attribute outputs-5 {0,1,2,3,4,5}
@attribute outputs-6 {0,1,2,3,4}

@data
99,'2018/10/08 17:04:32:409',2,-0.058824,0.780392,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
100,'2018/10/08 17:04:32:442',2,-0.058824,0.772549,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
101,'2018/10/08 17:04:32:474',2,-0.058824,0.772549,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
102,'2018/10/08 17:04:34:982',3,-0.043137,0.576471,-0.011765,-0.003922,-1,-1,3,?,?,?,?,?
103,'2018/10/08 17:04:35:018',3,-0.043137,0.576471,-0.011765,-0.003922,-1,-1,3,?,?,?,?,?
104,'2018/10/08 17:04:35:051',3,-0.043137,0.576471,-0.011765,-0.003922,-1,-1,3,?,?,?,?,?
105,'2018/10/08 17:04:35:082',3,-0.043137,0.576471,-0.011765,-0.003922,-1,-1,3,?,?,?,?,?
106,'2018/10/08 17:04:35:118',3,-0.043137,0.576471,-0.011765,-0.003922,-1,-1,3,?,?,?,?,?
107,'2018/10/08 17:04:35:151',3,-0.043137,0.576471,-0.011765,-0.003922,-1,-1,3,?,?,?,?,?
108,'2018/10/08 17:04:35:186',3,-0.043137,0.576471,-0.011765,-0.003922,-1,-1,3,?,?,?,?,?
109,'2018/10/08 17:04:35:219',3,-0.043137,0.576471,-0.011765,-0.003922,-1,-1,3,?,?,?,?,?
110,'2018/10/08 17:04:35:253',3,-0.027451,0.576471,-0.011765,-0.003922,-1,-1,3,?,?,?,?,?
111,'2018/10/08 17:04:35:285',3,-0.035294,0.576471,-0.011765,-0.003922,-1,-1,3,?,?,?,?,?
112,'2018/10/08 17:04:35:322',3,-0.035294,0.576471,-0.011765,-0.003922,-1,-1,3,?,?,?,?,?
113,'2018/10/08 17:04:35:351',3,-0.035294,0.576471,-0.011765,-0.003922,-1,-1,3,?,?,?,?,?
114,'2018/10/08 17:04:35:384',3,-0.027451,0.576471,-0.011765,-0.003922,-1,-1,3,?,?,?,?,?
115,'2018/10/08 17:04:35:416',3,-0.027451,0.576471,-0.011765,-0.003922,-1,-1,3,?,?,?,?,?
116,'2018/10/08 17:04:35:452',3,-0.027451,0.576471,-0.011765,-0.003922,-1,-1,3,?,?,?,?,?
117,'2018/10/08 17:04:35:486',3,-0.027451,0.576471,-0.011765,-0.003922,-1,-1,3,?,?,?,?,?
118,'2018/10/08 17:04:35:523',3,-0.027451,0.576471,-0.011765,-0.003922,-1,-1,3,?,?,?,?,?
119,'2018/10/08 17:04:35:549',3,-0.027451,0.576471,-0.011765,-0.003922,-1,-1,3,?,?,?,?,?
120,'2018/10/08 17:04:35:583',3,-0.027451,0.576471,-0.011765,-0.003922,-1,-1,3,?,?,?,?,?
121,'2018/10/08 17:04:35:618',3,-0.027451,0.576471,-0.011765,-0.003922,-1,-1,3,?,?,?,?,?
122,'2018/10/08 17:04:35:652',3,-0.027451,0.576471,-0.011765,-0.003922,-1,-1,3,?,?,?,?,?
123,'2018/10/08 17:04:35:682',3,-0.027451,0.576471,-0.011765,-0.003922,-1,-1,3,?,?,?,?,?
124,'2018/10/08 17:04:35:718',3,-0.027451,0.576471,-0.011765,-0.003922,-1,-1,3,?,?,?,?,?
125,'2018/10/08 17:04:35:751',3,-0.027451,0.576471,-0.011765,-0.003922,-1,-1,3,?,?,?,?,?
126,'2018/10/08 17:04:35:785',3,-0.027451,0.576471,-0.011765,-0.003922,-1,-1,3,?,?,?,?,?
127,'2018/10/08 17:04:35:819',3,-0.027451,0.576471,-0.011765,-0.003922,-1,-1,3,?,?,?,?,?
128,'2018/10/08 17:04:35:849',3,-0.027451,0.576471,-0.011765,-0.003922,-1,-1,3,?,?,?,?,?
129,'2018/10/08 17:04:35:882',3,-0.027451,0.576471,-0.011765,-0.003922,-1,-1,3,?,?,?,?,?
130,'2018/10/08 17:04:35:918',3,-0.027451,0.576471,-0.011765,-0.003922,-1,-1,3,?,?,?,?,?
131,'2018/10/08 17:04:35:951',3,-0.019608,0.576471,-0.011765,-0.003922,-1,-1,3,?,?,?,?,?
132,'2018/10/08 17:04:35:985',3,-0.019608,0.576471,-0.011765,-0.003922,-1,-1,3,?,?,?,?,?
133,'2018/10/08 17:04:36:018',3,-0.027451,0.576471,-0.011765,-0.003922,-1,-1,3,?,?,?,?,?
134,'2018/10/08 17:04:36:052',3,-0.027451,0.576471,-0.011765,-0.003922,-1,-1,3,?,?,?,?,?
135,'2018/10/08 17:04:36:085',3,-0.027451,0.576471,-0.011765,-0.003922,-1,-1,3,?,?,?,?,?
136,'2018/10/08 17:04:36:119',3,-0.027451,0.576471,-0.011765,-0.003922,-1,-1,3,?,?,?,?,?
137,'2018/10/08 17:04:36:152',3,-0.027451,0.576471,-0.011765,-0.003922,-1,-1,3,?,?,?,?,?
138,'2018/10/08 17:04:40:398',4,-0.011765,0.098039,-0.011765,-0.003922,-1,-1,4,?,?,?,?,?
139,'2018/10/08 17:04:40:427',4,-0.011765,0.098039,-0.011765,-0.003922,-1,-1,4,?,?,?,?,?
140,'2018/10/08 17:04:40:463',4,-0.011765,0.098039,-0.011765,-0.003922,-1,-1,4,?,?,?,?,?
141,'2018/10/08 17:04:40:497',4,-0.011765,0.098039,-0.011765,-0.003922,-1,-1,4,?,?,?,?,?
142,'2018/10/08 17:04:40:527',4,-0.011765,0.098039,-0.011765,-0.003922,-1,-1,4,?,?,?,?,?
143,'2018/10/08 17:04:40:560',4,-0.011765,0.098039,-0.011765,-0.003922,-1,-1,4,?,?,?,?,?
144,'2018/10/08 17:04:40:597',4,-0.011765,0.098039,-0.011765,-0.003922,-1,-1,4,?,?,?,?,?
145,'2018/10/08 17:04:40:627',4,-0.011765,0.098039,-0.011765,-0.003922,-1,-1,4,?,?,?,?,?
146,'2018/10/08 17:04:40:662',4,-0.011765,0.098039,-0.011765,-0.003922,-1,-1,4,?,?,?,?,?
147,'2018/10/08 17:04:40:697',4,-0.011765,0.098039,-0.011765,-0.003922,-1,-1,4,?,?,?,?,?
148,'2018/10/08 17:04:40:727',4,-0.011765,0.098039,-0.011765,-0.003922,-1,-1,4,?,?,?,?,?
149,'2018/10/08 17:04:40:760',4,-0.011765,0.098039,-0.011765,-0.003922,-1,-1,4,?,?,?,?,?
150,'2018/10/08 17:04:40:797',4,-0.011765,0.098039,-0.011765,-0.003922,-1,-1,4,?,?,?,?,?
151,'2018/10/08 17:04:40:828',4,-0.011765,0.098039,-0.011765,-0.003922,-1,-1,4,?,?,?,?,?
152,'2018/10/08 17:04:40:862',4,-0.011765,0.098039,-0.011765,-0.003922,-1,-1,4,?,?,?,?,?
153,'2018/10/08 17:04:40:897',4,-0.011765,0.098039,-0.011765,-0.003922,-1,-1,4,?,?,?,?,?
154,'2018/10/08 17:04:40:927',4,-0.011765,0.098039,-0.011765,-0.003922,-1,-1,4,?,?,?,?,?
155,'2018/10/08 17:04:40:963',4,-0.011765,0.098039,-0.011765,-0.003922,-1,-1,4,?,?,?,?,?
156,'2018/10/08 17:04:40:997',4,-0.011765,0.098039,-0.011765,-0.003922,-1,-1,4,?,?,?,?,?
157,'2018/10/08 17:04:41:026',4,-0.011765,0.098039,-0.011765,-0.003922,-1,-1,4,?,?,?,?,?
158,'2018/10/08 17:04:41:062',4,-0.011765,0.098039,-0.011765,-0.003922,-1,-1,4,?,?,?,?,?
159,'2018/10/08 17:04:41:096',4,-0.011765,0.098039,-0.011765,-0.003922,-1,-1,4,?,?,?,?,?
160,'2018/10/08 17:04:41:128',4,-0.011765,0.098039,-0.011765,-0.003922,-1,-1,4,?,?,?,?,?
161,'2018/10/08 17:04:41:160',4,-0.011765,0.098039,-0.011765,-0.003922,-1,-1,4,?,?,?,?,?
162,'2018/10/08 17:04:41:197',4,-0.011765,0.098039,-0.011765,-0.003922,-1,-1,4,?,?,?,?,?
163,'2018/10/08 17:04:41:229',4,-0.011765,0.098039,-0.011765,-0.003922,-1,-1,4,?,?,?,?,?
164,'2018/10/08 17:04:41:260',4,-0.011765,0.098039,-0.011765,-0.003922,-1,-1,4,?,?,?,?,?
165,'2018/10/08 17:04:41:296',4,-0.011765,0.098039,-0.011765,-0.003922,-1,-1,4,?,?,?,?,?
166,'2018/10/08 17:04:41:326',4,-0.011765,0.098039,-0.011765,-0.003922,-1,-1,4,?,?,?,?,?
167,'2018/10/08 17:04:41:360',4,-0.011765,0.098039,-0.011765,-0.003922,-1,-1,4,?,?,?,?,?
168,'2018/10/08 17:04:41:397',4,-0.011765,0.098039,-0.011765,-0.003922,-1,-1,4,?,?,?,?,?
169,'2018/10/08 17:04:41:427',4,-0.003922,0.098039,-0.011765,-0.003922,-1,-1,4,?,?,?,?,?
170,'2018/10/08 17:04:41:462',4,-0.011765,0.098039,-0.011765,-0.003922,-1,-1,4,?,?,?,?,?
171,'2018/10/08 17:04:41:497',4,-0.003922,0.098039,-0.011765,-0.003922,-1,-1,4,?,?,?,?,?
172,'2018/10/08 17:04:41:527',4,-0.011765,0.098039,-0.011765,-0.003922,-1,-1,4,?,?,?,?,?
173,'2018/10/08 17:04:41:560',4,-0.011765,0.098039,-0.011765,-0.003922,-1,-1,4,?,?,?,?,?
174,'2018/10/08 17:04:41:597',4,-0.011765,0.098039,-0.011765,-0.003922,-1,-1,4,?,?,?,?,?
175,'2018/10/08 17:04:41:627',4,-0.011765,0.098039,-0.011765,-0.003922,-1,-1,4,?,?,?,?,?
176,'2018/10/08 17:04:41:660',4,-0.003922,0.098039,-0.011765,-0.003922,-1,-1,4,?,?,?,?,?
177,'2018/10/08 17:04:41:697',4,-0.011765,0.098039,-0.011765,-0.003922,-1,-1,4,?,?,?,?,?
178,'2018/10/08 17:04:45:575',5,0.011765,-0.356863,-0.011765,-0.003922,-1,-1,5,?,?,?,?,?
179,'2018/10/08 17:04:45:608',5,0.019608,-0.356863,-0.011765,-0.003922,-1,-1,5,?,?,?,?,?
180,'2018/10/08 17:04:45:643',5,0.019608,-0.356863,-0.011765,-0.003922,-1,-1,5,?,?,?,?,?
181,'2018/10/08 17:04:45:677',5,0.019608,-0.356863,-0.011765,-0.003922,-1,-1,5,?,?,?,?,?
182,'2018/10/08 17:04:45:708',5,0.019608,-0.356863,-0.011765,-0.003922,-1,-1,5,?,?,?,?,?
